[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1616090444.307000 3/18/2021, 7:00:44 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, 
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: callibration_sequence.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1616090444.307,,1.000000e+003,5.001132e+000,2.221231e-003,1.048775e-007,-1.343109e-001,2.650847e-005,3,9.854366e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.290104e-003,0,,0,
1616090713.376,,1.000000e+003,1.000224e+001,2.049846e-003,3.318785e-007,-1.347905e-001,1.233555e-004,3,9.854234e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,6.153107e-003,0,,0,
1616090978.036,,1.000000e+003,1.500107e+001,1.994789e-003,3.481266e-008,-1.353206e-001,1.000992e-004,3,9.854012e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,5.470276e-003,0,,0,
1616091242.175,,1.000000e+003,1.999694e+001,1.974062e-003,3.778216e-007,-1.356884e-001,1.666999e-004,3,9.852628e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,8.859634e-003,0,,0,
1616091507.275,,1.000000e+003,2.500214e+001,1.967848e-003,1.794729e-007,-1.347231e-001,1.206969e-004,3,9.854302e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.131317e-003,0,,0,
1616091776.015,,1.000000e+003,3.000070e+001,1.969241e-003,9.316383e-008,-1.339183e-001,1.270235e-004,3,9.854196e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616092059.454,,1.000000e+003,3.500108e+001,1.975260e-003,6.701267e-008,-1.329952e-001,4.264106e-005,3,9.854819e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.541138e-003,0,,0,
1616092354.673,,1.000000e+003,4.000086e+001,1.983731e-003,1.272686e-007,-1.322114e-001,3.549924e-005,3,9.854544e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.979828e-003,0,,0,
1616092652.733,,1.000000e+003,4.500108e+001,1.992717e-003,1.727566e-007,-1.313485e-001,1.671877e-004,3,9.854576e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,3.681183e-003,0,,0,
1616092932.122,,1.000000e+003,5.000707e+001,2.001604e-003,2.522373e-007,-1.301179e-001,8.129278e-005,3,9.855831e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.194000e-002,0,,0,
1616093206.831,,1.000000e+003,5.500992e+001,2.009224e-003,1.371713e-007,-1.285265e-001,7.376224e-005,3,9.855568e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.313995e-002,0,,0,
1616093484.050,,1.000000e+003,6.001406e+001,2.015443e-003,1.779749e-007,-1.271878e-001,8.454485e-005,3,9.856589e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.724838e-002,0,,0,
1616093764.979,,1.000000e+003,6.501924e+001,2.019679e-003,1.239725e-007,-1.259693e-001,3.572694e-005,3,9.856647e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.382324e-002,0,,0,
1616094047.779,,1.000000e+003,7.002151e+001,2.022802e-003,9.120099e-008,-1.244904e-001,4.041219e-005,3,9.857445e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,3.915405e-002,0,,0,
1616094333.328,,1.000000e+003,7.502958e+001,2.023692e-003,7.504185e-008,-1.229463e-001,6.807836e-005,3,9.858282e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.772949e-002,0,,0,
1616094617.278,,1.000000e+003,8.003261e+001,2.022630e-003,8.963473e-008,-1.213796e-001,9.071898e-005,3,9.859042e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,3.942871e-002,0,,0,
1616094901.847,,1.000000e+003,8.503717e+001,2.019793e-003,1.170371e-007,-1.194989e-001,2.233724e-004,3,9.859865e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,5.211639e-002,0,,0,
