[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1615554242.321000 3/12/2021, 2:04:02 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, 
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: H5T_Lin_NoO.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1615554242.321,,0.000000e+000,2.999998e+002,2.910431e-007,5.391180e-009,0.000000e+000,0.000000e+000,2,9.010220e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.150513e-002,0,,0,
1615554428.600,,2.000000e+002,2.999975e+002,-4.961953e-007,5.305733e-009,0.000000e+000,0.000000e+000,2,9.235664e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.150513e-002,0,,0,
1615554614.769,,4.000000e+002,2.999975e+002,-1.309837e-006,5.268657e-009,0.000000e+000,0.000000e+000,2,9.659560e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.150513e-002,0,,0,
1615554802.398,,6.000000e+002,3.000021e+002,-2.187638e-006,5.800981e-009,0.000000e+000,0.000000e+000,2,9.771286e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.150513e-002,0,,0,
1615555009.937,,8.000000e+002,2.999964e+002,-3.102821e-006,5.467575e-009,0.000000e+000,0.000000e+000,2,9.832084e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.150513e-002,0,,0,
1615555195.767,,1.000000e+003,3.000010e+002,-4.045508e-006,6.882271e-009,0.000000e+000,0.000000e+000,2,9.826027e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.150513e-002,0,,0,
1615555433.286,,1.500000e+003,2.999964e+002,-6.463181e-006,1.661604e-009,0.000000e+000,0.000000e+000,2,9.853880e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.150513e-002,0,,0,
1615555653.425,,2.000000e+003,2.999975e+002,-8.931375e-006,1.873974e-008,0.000000e+000,0.000000e+000,2,9.868659e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.150513e-002,0,,0,
1615555907.504,,2.500000e+003,2.999987e+002,-1.143812e-005,2.351725e-008,0.000000e+000,0.000000e+000,2,9.851983e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.150513e-002,0,,0,
1615556104.623,,3.000000e+003,3.000021e+002,-1.396077e-005,1.413555e-008,0.000000e+000,0.000000e+000,2,9.841596e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,3.439331e-002,0,,0,
1615556300.302,,3.500000e+003,3.000033e+002,-1.649816e-005,1.718300e-008,0.000000e+000,0.000000e+000,2,9.839880e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.150513e-002,0,,0,
1615556489.492,,4.000000e+003,2.999975e+002,-1.905477e-005,3.201976e-008,0.000000e+000,0.000000e+000,2,9.834075e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.301025e-002,0,,0,
1615556681.356,,5.000000e+003,3.000010e+002,-2.417328e-005,2.806383e-008,0.000000e+000,0.000000e+000,2,9.839134e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.150513e-002,0,,0,
1615556880.087,,6.000000e+003,3.000033e+002,-2.930086e-005,2.632652e-008,0.000000e+000,0.000000e+000,2,9.834487e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.150513e-002,0,,0,
1615557080.187,,7.000000e+003,2.999987e+002,-3.476618e-005,7.663274e-007,0.000000e+000,0.000000e+000,2,9.258550e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.150513e-002,0,,0,
1615557259.821,,8.000000e+003,3.000021e+002,-3.958952e-005,5.977309e-008,0.000000e+000,0.000000e+000,2,9.859563e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.150513e-002,0,,0,
1615557446.596,,9.000000e+003,3.000056e+002,-4.594362e-005,2.412597e-006,0.000000e+000,0.000000e+000,2,9.554437e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.288818e-002,0,,0,
1615557633.138,,1.000000e+004,2.999987e+002,-4.999269e-005,2.619322e-008,0.000000e+000,0.000000e+000,2,9.868270e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.150513e-002,0,,0,
1615557824.845,,1.200000e+004,2.999998e+002,-6.137026e-005,2.368822e-006,0.000000e+000,0.000000e+000,2,9.629544e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.150513e-002,0,,0,
