[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1615586907.470000 3/12/2021, 11:08:27 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, 
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: H5T_Lin_NoO.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1615586907.470,,0.000000e+000,2.999998e+001,-5.998654e-009,3.882390e-009,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.899170e-003,0,,0,
1615587101.239,,2.000000e+002,3.000012e+001,-7.138351e-007,2.311148e-008,0.000000e+000,0.000000e+000,2,8.834698e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.339218e-003,0,,0,
1615587289.038,,4.000000e+002,3.000084e+001,-1.435307e-006,2.475073e-009,0.000000e+000,0.000000e+000,2,9.763544e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1615587477.318,,6.000000e+002,3.000056e+001,-2.200167e-006,1.475674e-008,0.000000e+000,0.000000e+000,2,9.764878e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.449585e-003,0,,0,
1615587663.657,,8.000000e+002,3.000056e+001,-3.044321e-006,5.758448e-009,0.000000e+000,0.000000e+000,2,9.809006e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.449585e-003,0,,0,
1615587851.057,,1.000000e+003,3.000012e+001,-3.915496e-006,1.181681e-008,0.000000e+000,0.000000e+000,2,9.829515e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1615588070.916,,1.500000e+003,3.000056e+001,-6.264368e-006,8.264862e-009,0.000000e+000,0.000000e+000,2,9.844897e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.449585e-003,0,,0,
1615588269.816,,2.000000e+003,3.000055e+001,-8.657270e-006,2.040208e-008,0.000000e+000,0.000000e+000,2,9.822019e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.339218e-003,0,,0,
1615588464.945,,2.500000e+003,3.000084e+001,-1.117419e-005,4.703418e-008,0.000000e+000,0.000000e+000,2,9.801698e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.449585e-003,0,,0,
1615588683.174,,3.000000e+003,2.999983e+001,-1.363386e-005,7.058355e-008,0.000000e+000,0.000000e+000,2,9.791223e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.449585e-003,0,,0,
1615588879.073,,3.500000e+003,3.000084e+001,-1.613517e-005,3.088388e-008,0.000000e+000,0.000000e+000,2,9.804893e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.449585e-003,0,,0,
1615589068.442,,4.000000e+003,3.000070e+001,-1.863142e-005,6.475901e-008,0.000000e+000,0.000000e+000,2,9.818914e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1615589275.902,,5.000000e+003,3.000084e+001,-2.361777e-005,6.040164e-008,0.000000e+000,0.000000e+000,2,9.819188e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1615589475.531,,6.000000e+003,3.000113e+001,-2.866431e-005,3.186251e-008,0.000000e+000,0.000000e+000,2,9.800974e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1615589674.010,,7.000000e+003,3.000128e+001,-3.372742e-005,2.584607e-008,0.000000e+000,0.000000e+000,2,9.807833e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.440048e-003,0,,0,
