[Header]
TITLE,SQUID Response (Moment -2.591196E-004 EMU) (Std Dev. 1.270629E-007)
BYAPP,MPMS Measurement,2.1,Raw
FILEOPENTIME, 1615614821.533000 3/13/2021, 6:53:41 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, 
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: H5T_Lin_NoO.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,8,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,11,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,14,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
FIELDGROUP,Transverse,1,2,3,4,5,6,7,8,23,24,25,26,27,28,29,30,31,32,33,34,35,36

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,LINES_ONLY

[Data]
Time,Comment,Field (Oe),Start Temperature (K),End Temperature (K),Scan,Rejected,Position (cm),Long Voltage,Long Average Voltage,Long Detrended Voltage,Long Demeaned Voltage,Long Reg Fit,Long Detrended Fit,Long Demeaned Fit,Long Scaled Response,Long Avg. Scaled Response,Long Background Response,Long Response [w/ABS],Long Detrended Resp. [w/ABS],Long Fit [w/ABS],Long Detrended Fit [w/ABS],Trans Voltage,Trans Average Voltage,Trans Detrended Voltage,Trans Demeaned Voltage,Trans Reg Fit,Trans Detrended Fit,Trans Demeaned Fit,Trans Scaled Response,Trans Avg. Scaled Response,Trans Background Response,Trans Response [w/ABS],Trans Detrended Resp. [w/ABS],Trans Adjusted Fit,Trans Detrended Fit [w/ABS],
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,2.066719e+000,-1.485031e+000,-1.443037e+000,-3.658922e+000,-3.658922e+000,-1.299657e+000,-3.515542e+000,-3.515542e+000,-1.830276e-004,-1.778519e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,1.932382e+000,-1.431929e+000,-1.393506e+000,-3.600782e+000,-3.609391e+000,-1.307373e+000,-3.514649e+000,-3.523258e+000,-1.764828e-004,-1.717472e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,1.797001e+000,-1.150700e+000,-1.118320e+000,-3.316987e+000,-3.334205e+000,-1.056024e+000,-3.254691e+000,-3.271909e+000,-1.418219e-004,-1.378311e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,1.662001e+000,-6.733909e-001,-6.369823e-001,-2.827040e+000,-2.852868e+000,-6.039732e-001,-2.794031e+000,-2.819858e+000,-8.299431e-005,-7.850701e-005,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,1.528666e+000,-1.202429e-001,-7.852413e-002,-2.259972e+000,-2.294409e+000,-4.166721e-002,-2.223115e+000,-2.257552e+000,-1.481974e-005,-9.677968e-006,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,1.398067e+000,5.229347e-001,5.639210e-001,-1.608918e+000,-1.651964e+000,5.515909e-001,-1.621248e+000,-1.664294e+000,6.445083e-005,6.950233e-005,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,1.271107e+000,1.102939e+000,1.143620e+000,-1.020609e+000,-1.072265e+000,1.126681e+000,-1.037548e+000,-1.089204e+000,1.359354e-004,1.409493e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,1.148637e+000,1.660360e+000,1.706809e+000,-4.488117e-001,-5.090765e-001,1.659973e+000,-4.956471e-001,-5.559119e-001,2.046365e-004,2.103613e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,1.031627e+000,2.151707e+000,2.197302e+000,5.029096e-002,-1.858306e-002,2.140253e+000,-6.758071e-003,-7.563210e-002,2.651944e-004,2.708138e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,9.213378e-001,2.583697e+000,2.622334e+000,4.839316e-001,4.064484e-001,2.558521e+000,4.201189e-001,3.426356e-001,3.184364e-004,3.231982e-004,,,,,,,,,,,,,,,,,,,,
