[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1615615555.990000 3/13/2021, 7:05:55 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, 
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: SiC1_Hyst_30K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1615615555.990,,1.000000e+003,5.003948e+000,-1.611512e-005,3.476184e-008,5.708995e-001,1.076665e-003,3,7.366385e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,7.228851e-003,0,,0,
1615615823.348,,1.000000e+003,1.000622e+001,-1.621486e-005,1.461247e-008,5.616935e-001,5.955574e-004,3,7.375125e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,6.179810e-003,0,,0,
1615616090.857,,1.000000e+003,1.500287e+001,-1.624239e-005,2.060593e-008,5.576744e-001,6.834690e-004,3,7.379691e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,5.479813e-003,0,,0,
1615616373.296,,1.000000e+003,2.000117e+001,-3.572440e-006,6.246177e-009,1.341118e-002,1.564756e-003,3,9.249659e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,6.811142e-003,0,,0,
1615616641.915,,1.000000e+003,2.500441e+001,-3.605025e-006,7.393971e-009,1.365635e-002,1.125321e-003,3,9.264360e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,8.270264e-003,0,,0,
1615616911.805,,1.000000e+003,3.000186e+001,-3.627888e-006,3.768954e-009,1.294662e-002,1.926689e-003,3,9.285302e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.440048e-003,0,,0,
1615617194.943,,1.000000e+003,3.500169e+001,-3.641659e-006,5.017658e-009,1.316606e-002,9.263766e-004,3,9.270914e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,3.078461e-003,0,,0,
1615617491.592,,1.000000e+003,4.000087e+001,-3.658926e-006,2.593691e-009,1.329022e-002,1.402654e-003,3,9.292672e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.920959e-003,0,,0,
1615617792.261,,1.000000e+003,4.500193e+001,-3.663763e-006,3.638076e-009,1.318817e-002,1.123352e-003,3,9.291749e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,3.692627e-003,0,,0,
1615618075.950,,1.000000e+003,5.000497e+001,-3.672854e-006,4.099924e-009,1.513189e-002,1.335788e-003,3,9.291075e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.044846e-002,0,,0,
1615618352.518,,1.000000e+003,5.501099e+001,-3.703188e-006,4.203920e-009,1.108310e-002,9.047285e-004,3,9.415753e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.490997e-002,0,,0,
1615618632.397,,1.000000e+003,6.001490e+001,-3.708821e-006,4.985010e-009,1.273015e-002,1.062468e-003,3,9.418025e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,3.564072e-002,0,,0,
1615618913.206,,1.000000e+003,6.502144e+001,-3.721649e-006,4.545659e-009,1.298544e-002,1.320700e-003,3,9.450876e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.141235e-002,0,,0,
1615619198.075,,1.000000e+003,7.002430e+001,-3.732029e-006,5.344555e-009,1.448588e-002,1.003349e-003,3,9.457692e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.193878e-002,0,,0,
1615619479.864,,1.000000e+003,7.503243e+001,-3.745451e-006,7.995985e-009,1.459758e-002,1.518075e-003,3,9.519734e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,5.091858e-002,0,,0,
1615619765.623,,1.000000e+003,8.003369e+001,-3.748625e-006,8.720670e-009,1.527287e-002,9.682025e-004,3,9.525012e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.662323e-002,0,,0,
1615620051.232,,1.000000e+003,8.503958e+001,-3.756130e-006,4.486181e-009,1.758435e-002,3.488438e-004,3,9.510502e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,6.015015e-002,0,,0,
1615620336.421,,1.000000e+003,9.004195e+001,-3.759313e-006,2.166664e-009,2.000925e-002,1.003055e-003,3,9.513095e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,6.234741e-002,0,,0,
1615620621.199,,1.000000e+003,9.504722e+001,-3.783514e-006,5.859578e-009,1.711118e-002,1.363187e-003,3,9.562237e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,7.868958e-002,0,,0,
1615620903.468,,1.000000e+003,1.000495e+002,-3.779905e-006,3.774207e-009,1.851644e-002,1.001013e-003,3,9.583415e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,8.380127e-002,0,,0,
